"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,,ES_35318,,2,,
004,MBB DEUPS,,ES_3532,,2,,
004,MBB DEUPS,,ES_35330,,2,,
004,MBB DEUPS,,ES_35331,,2,,
004,MBB DEUPS,,ES_35332,,2,,
004,MBB DEUPS,,ES_35334,,2,,
004,MBB DEUPS,,ES_35335,,2,,
004,MBB DEUPS,,ES_35336,,2,,
004,MBB DEUPS,,ES_35337,,2,,
004,MBB DEUPS,,ES_35338,,2,,
004,MBB DEUPS,,ES_35339,,2,,
004,MBB DEUPS,,ES_35340,,2,,
004,MBB DEUPS,,ES_35341,,2,,
004,MBB DEUPS,,ES_35342,,2,,
004,MBB DEUPS,,ES_35343,,2,,
004,MBB DEUPS,,ES_35344,,2,,
004,MBB DEUPS,,ES_35345,,2,,
004,MBB DEUPS,,ES_35346,,2,,
004,MBB DEUPS,,ES_35347,,2,,
004,MBB DEUPS,,ES_35348,,2,,
004,MBB DEUPS,,ES_35351,,2,,
004,MBB DEUPS,,ES_35352,,2,,
004,MBB DEUPS,,ES_35353,,2,,
004,MBB DEUPS,,ES_35354,,2,,
004,MBB DEUPS,,ES_35355,,2,,
004,MBB DEUPS,,ES_35356,,2,,
004,MBB DEUPS,,ES_35357,,2,,
004,MBB DEUPS,,ES_35358,,2,,
004,MBB DEUPS,,ES_35359,,2,,
004,MBB DEUPS,,ES_35360,,2,,
004,MBB DEUPS,,ES_35361,,2,,
004,MBB DEUPS,,ES_35362,,2,,
004,MBB DEUPS,,ES_35363,,2,,
004,MBB DEUPS,,ES_35364,,2,,
004,MBB DEUPS,,ES_35365,,2,,
004,MBB DEUPS,,ES_35366,,2,,
004,MBB DEUPS,,ES_35367,,2,,
004,MBB DEUPS,,ES_3537,,2,,
004,MBB DEUPS,,ES_3538,,2,,
004,MBB DEUPS,,ES_3539,,2,,
004,MBB DEUPS,,ES_3540,,2,,
004,MBB DEUPS,,ES_3541,,2,,
004,MBB DEUPS,,ES_35420,,2,,
004,MBB DEUPS,,ES_35422,,2,,
004,MBB DEUPS,,ES_35423,,2,,
004,MBB DEUPS,,ES_35424,,2,,
004,MBB DEUPS,,ES_35425,,2,,
004,MBB DEUPS,,ES_35426,,2,,
004,MBB DEUPS,,ES_35427,,2,,
004,MBB DEUPS,,ES_35428,,2,,
004,MBB DEUPS,,ES_35429,,2,,
004,MBB DEUPS,,ES_35430,,2,,
004,MBB DEUPS,,ES_35431,,2,,
004,MBB DEUPS,,ES_35433,,2,,
004,MBB DEUPS,,ES_35434,,2,,
004,MBB DEUPS,,ES_35435,,2,,
004,MBB DEUPS,,ES_35436,,2,,
004,MBB DEUPS,,ES_35437,,2,,
004,MBB DEUPS,,ES_35438,,2,,
004,MBB DEUPS,,ES_35439,,2,,
004,MBB DEUPS,,ES_3544,,2,,
004,MBB DEUPS,,ES_35450,,2,,
004,MBB DEUPS,,ES_35451,,2,,
004,MBB DEUPS,,ES_35452,,2,,
004,MBB DEUPS,,ES_35453,,2,,
004,MBB DEUPS,,ES_35454,,2,,
004,MBB DEUPS,,ES_35455,,2,,
004,MBB DEUPS,,ES_35456,,2,,
004,MBB DEUPS,,ES_35458,,2,,
004,MBB DEUPS,,ES_35460,,2,,
004,MBB DEUPS,,ES_35461,,2,,
004,MBB DEUPS,,ES_35462,,2,,
004,MBB DEUPS,,ES_35463,,2,,
004,MBB DEUPS,,ES_35464,,2,,
004,MBB DEUPS,,ES_35465,,2,,
004,MBB DEUPS,,ES_35466,,2,,
004,MBB DEUPS,,ES_35467,,2,,
004,MBB DEUPS,,ES_35469,,2,,
004,MBB DEUPS,,ES_35470,,2,,
004,MBB DEUPS,,ES_35471,,2,,
004,MBB DEUPS,,ES_35472,,2,,
004,MBB DEUPS,,ES_35473,,2,,
004,MBB DEUPS,,ES_35474,,2,,
004,MBB DEUPS,,ES_35475,,2,,
004,MBB DEUPS,,ES_35476,,2,,
004,MBB DEUPS,,ES_35477,,2,,
004,MBB DEUPS,,ES_35480,,2,,
004,MBB DEUPS,,ES_35481,,2,,
004,MBB DEUPS,,ES_35482,,2,,
004,MBB DEUPS,,ES_35483,,2,,
004,MBB DEUPS,,ES_35484,,2,,
004,MBB DEUPS,,ES_35485,,2,,
004,MBB DEUPS,,ES_35486,,2,,
004,MBB DEUPS,,ES_35487,,2,,
004,MBB DEUPS,,ES_35488,,2,,
004,MBB DEUPS,,ES_3549,,2,,
004,MBB DEUPS,,ES_3550,,2,,
004,MBB DEUPS,,ES_35510,,2,,
004,MBB DEUPS,,ES_35511,,2,,
004,MBB DEUPS,,ES_35512,,2,,
004,MBB DEUPS,,ES_35513,,2,,
004,MBB DEUPS,,ES_35514,,2,,
004,MBB DEUPS,,ES_35515,,2,,
004,MBB DEUPS,,ES_35516,,2,,
004,MBB DEUPS,,ES_35517,,2,,
004,MBB DEUPS,,ES_35519,,2,,
004,MBB DEUPS,,ES_3552,,2,,
004,MBB DEUPS,,ES_3553,,2,,
