"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,FR,04000,04999,3,
004,MBB DEUPS,FR,05000,05999,3,
004,MBB DEUPS,FR,06260,06260,3,
004,MBB DEUPS,FR,06380,06380,3,
004,MBB DEUPS,FR,06390,06390,3,
004,MBB DEUPS,FR,06420,06420,3,
004,MBB DEUPS,FR,06430,06430,3,
004,MBB DEUPS,FR,06440,06440,3,
004,MBB DEUPS,FR,06450,06450,3,
004,MBB DEUPS,FR,06460,06460,3,
004,MBB DEUPS,FR,06470,06470,3,
004,MBB DEUPS,FR,06540,06540,3,
004,MBB DEUPS,FR,06620,06620,3,
004,MBB DEUPS,FR,06660,06660,3,
004,MBB DEUPS,FR,06710,06710,3,
004,MBB DEUPS,FR,06750,06750,3,
004,MBB DEUPS,FR,06790,06790,3,
004,MBB DEUPS,FR,06830,06830,3,
004,MBB DEUPS,FR,06850,06850,3,
004,MBB DEUPS,FR,06910,06910,3,
004,MBB DEUPS,FR,09000,09999,3,
004,MBB DEUPS,FR,11101,11101,3,
004,MBB DEUPS,FR,11140,11140,3,
004,MBB DEUPS,FR,11150,11150,3,
004,MBB DEUPS,FR,11160,11160,3,
004,MBB DEUPS,FR,11170,11170,3,
004,MBB DEUPS,FR,11190,11190,3,
004,MBB DEUPS,FR,11220,11220,3,
004,MBB DEUPS,FR,11230,11230,3,
004,MBB DEUPS,FR,11240,11240,3,
004,MBB DEUPS,FR,11250,11250,3,
004,MBB DEUPS,FR,11260,11260,3,
004,MBB DEUPS,FR,11270,11270,3,
004,MBB DEUPS,FR,11290,11290,3,
004,MBB DEUPS,FR,11300,11300,3,
004,MBB DEUPS,FR,11310,11310,3,
004,MBB DEUPS,FR,11320,11320,3,
004,MBB DEUPS,FR,11330,11330,3,
004,MBB DEUPS,FR,11340,11340,3,
004,MBB DEUPS,FR,11350,11350,3,
004,MBB DEUPS,FR,11360,11360,3,
004,MBB DEUPS,FR,11370,11370,3,
004,MBB DEUPS,FR,11380,11380,3,
004,MBB DEUPS,FR,11390,11390,3,
004,MBB DEUPS,FR,11400,11400,3,
004,MBB DEUPS,FR,11410,11410,3,
004,MBB DEUPS,FR,11420,11420,3,
004,MBB DEUPS,FR,11480,11480,3,
004,MBB DEUPS,FR,11490,11490,3,
004,MBB DEUPS,FR,11500,11500,3,
004,MBB DEUPS,FR,11510,11510,3,
004,MBB DEUPS,FR,11540,11540,3,
004,MBB DEUPS,FR,11570,11570,3,
004,MBB DEUPS,FR,11580,11580,3,
004,MBB DEUPS,FR,11600,11600,3,
004,MBB DEUPS,FR,11610,11610,3,
004,MBB DEUPS,FR,11620,11620,3,
004,MBB DEUPS,FR,11700,11700,3,
004,MBB DEUPS,FR,11800,11800,3,
004,MBB DEUPS,FR,11890,11890,3,
004,MBB DEUPS,FR,12000,12999,3,
004,MBB DEUPS,FR,15000,15999,3,
004,MBB DEUPS,FR,17111,17111,3,
004,MBB DEUPS,FR,17123,17123,3,
004,MBB DEUPS,FR,17190,17190,3,
004,MBB DEUPS,FR,17310,17310,3,
004,MBB DEUPS,FR,17370,17370,3,
004,MBB DEUPS,FR,17410,17410,3,
004,MBB DEUPS,FR,17480,17480,3,
004,MBB DEUPS,FR,17550,17550,3,
004,MBB DEUPS,FR,17580,17580,3,
004,MBB DEUPS,FR,17590,17590,3,
004,MBB DEUPS,FR,17630,17630,3,
004,MBB DEUPS,FR,17650,17650,3,
004,MBB DEUPS,FR,17670,17670,3,
004,MBB DEUPS,FR,17740,17740,3,
004,MBB DEUPS,FR,17840,17840,3,
004,MBB DEUPS,FR,17880,17880,3,
004,MBB DEUPS,FR,17940,17940,3,
004,MBB DEUPS,FR,22870,22870,3,
004,MBB DEUPS,FR,25160,25160,3,
004,MBB DEUPS,FR,25190,25190,3,
004,MBB DEUPS,FR,25240,25240,3,
004,MBB DEUPS,FR,25370,25370,3,
004,MBB DEUPS,FR,25380,25380,3,
004,MBB DEUPS,FR,25430,25430,3,
004,MBB DEUPS,FR,25470,25470,3,
004,MBB DEUPS,FR,29242,29242,3,
004,MBB DEUPS,FR,29253,29253,3,
004,MBB DEUPS,FR,29259,29259,3,
004,MBB DEUPS,FR,29980,29980,3,
004,MBB DEUPS,FR,29990,29990,3,
004,MBB DEUPS,FR,38112,38112,3,
004,MBB DEUPS,FR,38114,38114,3,
004,MBB DEUPS,FR,38142,38142,3,
004,MBB DEUPS,FR,38250,38250,3,
004,MBB DEUPS,FR,38520,38520,3,
004,MBB DEUPS,FR,38580,38580,3,
004,MBB DEUPS,FR,38650,38650,3,
004,MBB DEUPS,FR,38710,38710,3,
004,MBB DEUPS,FR,38720,38720,3,
004,MBB DEUPS,FR,38740,38740,3,
004,MBB DEUPS,FR,38750,38750,3,
004,MBB DEUPS,FR,38770,38770,3,
004,MBB DEUPS,FR,38860,38860,3,
004,MBB DEUPS,FR,38880,38880,3,
004,MBB DEUPS,FR,38930,38930,3,
004,MBB DEUPS,FR,38970,38970,3,
004,MBB DEUPS,FR,39220,39220,3,
004,MBB DEUPS,FR,39310,39310,3,
004,MBB DEUPS,FR,39400,39400,3,
004,MBB DEUPS,FR,48000,48999,3,
004,MBB DEUPS,FR,56360,56360,3,
004,MBB DEUPS,FR,56590,56590,3,
004,MBB DEUPS,FR,56780,56780,3,
004,MBB DEUPS,FR,56840,56840,3,
004,MBB DEUPS,FR,63113,63113,3,
004,MBB DEUPS,FR,63240,63240,3,
004,MBB DEUPS,FR,63610,63610,3,
004,MBB DEUPS,FR,63680,63680,3,
004,MBB DEUPS,FR,63850,63850,3,
004,MBB DEUPS,FR,64440,64440,3,
004,MBB DEUPS,FR,65001,65099,3,
004,MBB DEUPS,FR,65101,65419,3,
004,MBB DEUPS,FR,65421,65999,3,
004,MBB DEUPS,FR,66102,66102,3,
004,MBB DEUPS,FR,66110,66110,3,
004,MBB DEUPS,FR,66120,66120,3,
004,MBB DEUPS,FR,66130,66130,3,
004,MBB DEUPS,FR,66150,66150,3,
004,MBB DEUPS,FR,66160,66160,3,
004,MBB DEUPS,FR,66170,66170,3,
004,MBB DEUPS,FR,66190,66190,3,
004,MBB DEUPS,FR,66210,66210,3,
004,MBB DEUPS,FR,66220,66220,3,
004,MBB DEUPS,FR,66230,66230,3,
